current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
0;303.0286668575319;305.01688;305.346477277434;311.4546705472243;9500.0;773.2756423073556;773.22860711566;773.22860711566;70.0;69.82357579411656;11.0;11.0;0.0;5;11.0;11.0;0.6570282768118826;-14.31875392047834;2245.860269993855;3396.4162500000007;184.0;80;136.0;0;6
1;303.0570470464885;305.97775;304.692544095693;311.4546705472243;9500.0;773.8953189949121;773.9161306216677;773.9161306216677;70.0;69.53926193620184;11.0;11.0;0.0;5;11.0;11.0;0.46361333038408964;9.839129980653183;1564.7847190524876;3396.4162500000007;184.0;80;136.0;0;6
2;303.0851434335555;305.83395;304.14826914622205;311.4546705472243;9500.0;774.5143279643573;774.602881023438;774.602881023438;70.0;69.26540525479642;11.0;11.0;-1.4210854715202004e-14;5;11.0;11.0;0.30136358393676144;63.91359594018257;959.6425777008732;3396.41625;184.0;80;136.0;0;6
3;303.11295885675185;305.4883;304.1915450131219;311.4546705472243;9500.0;775.1326699351752;775.2888591903088;775.2888591903088;70.0;67.51347780412746;11.0;11.0;-1.1368683772161604e-14;5;11.0;11.0;0.30574614628874275;123.64573062662623;914.7954490033368;3396.4162500000007;184.0;80;136.0;0;6
4;303.14049612571625;305.14233;304.52947784892274;311.4546705472243;9500.0;775.7503456260744;775.9740659906403;775.9740659906403;70.0;65.0234861506503;11.0;11.0;0.0;5;11.0;11.0;0.3937337843877944;162.39181680105315;1174.8920066676478;3396.41625;184.0;80;136.0;0;6
5;303.167758021991;304.93488;304.5580751594404;311.4546705472243;9500.0;776.3673557549894;776.6585022918161;776.6585022918161;70.0;63.45864286278915;11.0;11.0;0.0;5;11.0;11.0;0.3941123334318979;181.86912453862945;1156.7004090548867;3396.41625;184.0;80;136.0;0;6
6;303.194747299303;304.87018;304.478001967396;311.4546705472243;9500.0;776.9837010390809;777.3421689602449;777.3421689602449;70.0;62.74760700553196;11.0;11.0;0.0;5;11.0;11.0;0.36376340189356265;177.5678930776955;1057.9240362688815;3396.41625;184.0;80;136.0;0;6
7;303.22146668384187;304.8691;304.5148327766519;311.4546705472243;9500.0;777.5993821947368;778.0250668613606;778.0250668613606;70.0;61.96574377448226;11.0;11.0;0.0;5;11.0;11.0;0.36662968116338435;159.8756576747113;1085.3513491609265;3396.41625;184.0;80;136.0;0;6
8;303.24791887453534;304.89694;304.55399462773414;311.4546705472243;9500.0;778.2143999375733;778.7071968596244;778.7071968596244;70.0;61.172512042440545;11.0;11.0;0.0;5;11.0;11.0;0.3702324806815791;129.76507905174304;1127.6985346129834;3396.41625;184.0;80;136.0;0;6
9;303.2741065433219;304.94656;304.55136464620233;311.4546705472243;9500.0;778.8287549824353;779.3885598185252;779.3885598185252;70.0;60.65833039968046;11.0;11.0;1.4210854715202004e-14;5;11.0;11.0;0.3620635592858166;95.1740989000481;1134.5444573911382;3396.41625;184.0;80;136.0;0;6
