current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
375;305.8011899825144;311.38525;311.33159441395037;311.4546705472243;8898.636203509523;959.2662016501524;959.2165092590473;959.2165092590473;70.0;74.21285202259389;77.50313611407108;77.50313611407108;5.58384057042197;5;16.714412137023537;16.714412137023537;1.5677003013096065;1350.7172743808187;3973.8455041170246;3396.41625;184.0;124.01593523091125;136.0;0;6
376;305.8018449402212;311.38373;311.3334495182781;311.4546705472243;9084.982395315103;959.6497408296029;959.6008892645852;959.6008892645852;70.0;74.25631910191164;77.63908686772713;77.63908686772713;5.630753230211425;5;16.78686999200257;16.78686999200257;1.5680405061251188;1345.6309264404415;3980.0873292211377;3396.41625;184.0;123.93796054052383;136.0;0;6
377;305.8024933483509;311.38272;311.3348191773479;311.4546705472243;9245.677075698;960.0445286558905;959.9971324103971;959.9971324103971;70.0;74.30651086335808;77.67037384136202;77.67037384136202;5.6719451278177075;5;16.8623028843056;16.8623028843056;1.568244958680139;1340.2759611164208;3986.1367005253815;3396.41625;184.0;123.87463913963921;136.0;0;6
378;305.8031352723993;311.3826;311.33504491470114;311.4546705472243;9380.758357213837;960.4485216068653;960.4031669553572;960.4031669553572;70.0;74.36451707462356;77.65794798081721;77.65794798081721;5.70558819819324;5;16.93959031820003;16.93959031820003;1.5681269824967305;1334.18756705667;3991.824398358691;3396.41625;184.0;123.82655730356977;136.0;0;6
379;305.8037707772072;311.38324;311.33368427911665;311.4546705472243;9500.0;960.8598694822583;960.8170850834905;960.8170850834905;70.0;74.43100835420309;77.54425046939198;77.54425046939198;5.730359814638888;5;17.017580622953048;17.017580622953048;1.5675611378223788;1326.9246212642224;3997.165500104195;3396.41625;184.0;123.79362345557782;136.0;0;6
380;305.80439992696705;311.38568;311.33029360559954;311.4546705472243;9500.0;961.277419176164;961.2376915685998;961.2376915685998;70.0;74.50594514354708;77.40997450891608;77.40997450891608;5.745609811476797;5;17.09519160346831;17.09519160346831;1.566421641020532;1318.0912416827816;4002.1286742310194;3396.41625;184.0;123.77596356259862;136.0;0;6
381;305.8050227852293;311.3724;311.3246052485947;311.4546705472243;9500.0;961.6945189491697;961.6578476647975;961.6578476647975;70.0;74.58705585303072;77.25358594957493;77.25358594957493;5.751756594655262;5;17.171596619569527;17.171596619569527;1.5646326047577348;1307.422435961046;4006.7211681179524;3396.41625;184.0;123.76418723747122;136.0;0;6
382;305.8056394149089;311.37018;311.3166226176484;311.4546705472243;9500.0;962.111169286077;962.0775463580088;962.0775463580088;70.0;74.67663279249963;76.9765099092696;76.9765099092696;5.751068925980391;5;17.246565978432596;17.246565978432596;1.5621949777014288;1294.800496630949;4011.063911302572;3396.41625;184.0;123.75813454169723;136.0;0;6
383;305.80624987829174;311.37582;311.3059222943497;311.4546705472243;9500.0;962.5273706711654;962.4967808464837;962.4967808464837;70.0;74.77758546857645;76.60135278547477;76.60135278547477;5.743653459514178;5;17.319448231090767;17.319448231090767;1.5589887160421902;1280.0650767274353;4014.9095320048955;3396.41625;184.0;123.7576355930035;136.0;0;6
384;305.80685423704074;311.37827;311.2921886647478;311.4546705472243;9500.0;962.9431235881923;962.9155445532682;962.9155445532682;70.0;74.88796710072924;76.22254263195126;76.22254263195126;5.7273397612890875;5;17.38891946757466;17.38891946757466;1.554924335410247;1263.014303072916;4018.1559772348983;3396.41625;184.0;123.76251124019603;136.0;0;6
385;305.8074525522022;311.37726;311.27567923125116;311.4546705472243;9500.0;963.358428520394;963.3338311377997;963.3338311377997;70.0;75.00421160443177;75.85536239969149;75.85536239969149;5.7020272677058585;5;17.454059695628597;17.454059695628597;1.5500748125482877;1243.6383095057715;4021.0609725489376;3396.41625;184.0;123.77257374347327;136.0;0;6
386;305.8080448842121;311.37;311.256830251204;311.4546705472243;9500.0;963.7732859504861;963.7516345066192;963.7516345066192;70.0;75.12410310135385;75.52488076761136;75.52488076761136;5.670607671063934;5;17.51483654340661;17.51483654340661;1.5445637959223812;1222.1636680086765;4023.8179076237825;3396.41625;184.0;123.78762745836238;136.0;0;6
387;305.8086312929019;311.35754;311.23634774580125;311.4546705472243;9500.0;964.187696360664;964.1689488231973;964.1689488231973;70.0;75.24440266924132;75.26830239013987;75.26830239013987;5.636796189499364;5;17.571753866043633;17.571753866043633;1.5385914039607114;1199.1669018974226;4026.5299446250515;3396.41625;184.0;123.80746952152265;136.0;0;6
388;305.8092118375048;311.34042;311.2152181457136;311.4546705472243;9500.0;964.6016602326034;964.585768516873;964.585768516873;70.0;75.3624784214743;75.09154775546821;75.09154775546821;5.604664915757269;5;17.62579410287094;17.62579410287094;1.5324372427605948;1175.3929326406353;4029.401820776645;3396.41625;184.0;123.83189053666959;136.0;0;6
389;305.8097865766616;311.32043;311.1943926320677;311.4546705472243;9500.0;965.0151780474614;965.0020882909048;965.0020882909048;70.0;75.47796112084896;74.96493618279094;74.96493618279094;5.577695760235642;5;17.678169847790176;17.678169847790176;1.5263709264210181;1151.624207473939;4032.566810549962;3396.41625;184.0;123.86067525889894;136.0;0;6
390;305.8103555684269;311.2983;311.174866943662;311.4546705472243;9500.0;965.4282502858762;965.417903129639;965.417903129639;70.0;75.58943398220163;74.92441929682772;74.92441929682772;5.558075842780269;5;17.73005344857713;17.73005344857713;1.5206746999425593;1128.827823367147;4036.016438481636;3396.41625;184.0;123.89360327583118;136.0;0;6
391;305.8109188702746;311.27698;311.15734455238726;311.4546705472243;9500.0;965.8408774279683;965.8332083047983;965.8332083047983;70.0;75.69655292764476;74.96420460248459;74.96420460248459;5.546190514505071;5;17.7822954343726;17.7822954343726;1.5155479597721322;1107.5681113232213;4039.8636069011945;3396.41625;184.0;123.93044968389586;136.0;0;6
392;305.81147653910375;311.2575;311.14280463371426;311.4546705472243;9500.0;966.2530599533409;966.2479993809001;966.2479993809001;70.0;75.79958908930325;75.0264043288178;75.0264043288178;5.543736354533465;5;17.836178237831625;17.836178237831625;1.5112682560416693;1088.7388573823382;4044.1572055467486;3396.41625;184.0;123.97098575828853;136.0;0;6
393;305.81202863124463;311.24103;311.13172757231973;311.4546705472243;9500.0;966.6647983410802;966.6622722198111;966.6622722198111;70.0;75.90008814444249;75.12944993719935;75.12944993719935;5.551342644291921;5;17.892833760212508;17.892833760212508;1.5079717471285499;1072.8372736785986;4048.8624728096997;3396.41625;184.0;124.01497961507323;136.0;0;6
394;305.8125752024641;311.22815;311.124545695592;311.4546705472243;9500.0;967.0760930697564;967.0760229844514;967.0760229844514;70.0;75.99768907296365;75.25279186446635;75.25279186446635;5.568407988604548;5;17.95308762793549;17.95308762793549;1.5057809688001877;1060.410718636835;4053.848232736866;3396.41625;184.0;124.06219686399044;136.0;0;6
395;305.8131163079713;311.21945;311.1214681028497;311.4546705472243;9500.0;967.486944617424;967.489248141659;967.489248141659;70.0;76.09413733071075;75.43406722989032;75.43406722989032;5.593226761648339;5;18.01737405870908;18.01737405870908;1.5047551786601476;1051.5823329126752;4059.1926081603046;3396.41625;184.0;124.11240125064839;136.0;0;6
396;305.8136520024235;311.21527;311.1225919460378;311.4546705472243;9500.0;967.8973534616222;967.9019444642317;967.9019444642317;70.0;76.19002555942319;75.58324104448064;75.58324104448064;5.624497793903018;5;18.08607804455032;18.08607804455032;1.5049219008161727;1046.4912725032393;4064.849926409699;3396.41625;184.0;124.16535528674135;136.0;0;6
397;305.81418233993116;311.21588;311.1275367644998;311.4546705472243;9500.0;968.3073200793757;968.3141090321596;968.3141090321596;70.0;76.28841029294315;75.71316127311312;75.71316127311312;5.661616562398976;5;18.159663454489408;18.159663454489408;1.5061732709841327;1044.706943423993;4070.8844294621686;3396.41625;184.0;124.22082086707078;136.0;0;6
398;305.81470737406374;311.22083;311.1354465020588;311.4546705472243;9500.0;968.7168449471955;968.7257392330686;968.7257392330686;70.0;76.39055623949781;75.78362015666508;75.78362015666508;5.702894618114485;5;18.23820852744396;18.23820852744396;1.508266608267209;1045.76396919347;4076.937248457663;3396.41625;184.0;124.27855987219317;136.0;0;6
399;305.815227157855;311.22952;311.14590110110925;311.4546705472243;9500.0;969.1259285410787;969.136832761892;969.136832761892;70.0;76.49788552476525;75.80756626247091;75.80756626247091;5.74497231345984;5;18.321121297859012;18.321121297859012;1.5110828241639407;1049.2248801405349;4083.041378945766;3396.41625;184.0;124.33833475556929;136.0;0;6
400;305.81574174380836;311.2411;311.1583665462435;311.4546705472243;9500.0;969.5345713365098;969.5473876197939;969.5473876197939;70.0;76.61153402632752;75.74047582602036;75.74047582602036;5.785166657576099;5;18.407676832439876;18.407676832439876;1.514470526776128;1054.7048448662351;4089.0674624222665;3396.41625;184.0;124.39990911417715;136.0;0;6
401;305.8162511839022;311.2549;311.1723746088343;311.4546705472243;9500.0;969.9427738084607;969.9574021123619;969.9574021123619;70.0;76.73174486392658;75.62123705202708;75.62123705202708;5.82046443217294;5;18.49678283057654;18.49678283057654;1.5182969728919793;1061.846551295636;4094.9219597604924;3396.41625;184.0;124.46304824159596;136.0;0;6
402;305.81675552959507;311.2701;311.18761453837783;311.4546705472243;9500.0;970.3505364313919;970.3668748470968;970.3668748470968;70.0;76.85853465466235;75.43188394838577;75.43188394838577;5.848622635521664;5;18.58727673479845;18.58727673479845;1.5224740596727182;1070.3830988101217;4100.572537665768;3396.41625;184.0;124.52751966265099;136.0;0;6
