current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
0;303.0286668575319;304.94086;307.21139654089666;311.4546705472243;9500.0;773.2756423073556;773.22860711566;773.22860711566;70.0;66.3462157986355;70.0;50;72.71450273914525;0.0;3;50;50;0.40185427365301923;7.704249753283837;4019.344234796617;10021.166250000002;184.0;180.0;136.0;0;6
1;303.0570470464885;306.53098;307.449050850596;311.4546705472243;9500.0;773.8953189949121;773.7883080676426;773.7883080676426;70.0;63.15304595867137;70.0;50;82.93620726695667;0.0;3;50;50;0.42196021072084344;140.6157759926637;4087.9176465259416;10021.166250000002;184.0;180.0;136.0;0;6
2;303.0851434335555;307.16296;307.6553961583862;311.4546705472243;9500.0;774.5143279643573;774.3473796488853;774.3473796488853;70.0;63.59752056455778;70.0;50;90.69110205014731;0.0;3;50;50;0.43908541267963447;311.91916832572707;4088.2287500867483;10021.166250000002;184.0;180.0;136.0;0;6
3;303.11295885675185;307.59003;307.85272906783405;311.4546705472243;9500.0;775.1326699351752;774.905822567101;774.905822567101;70.0;63.74631679086773;70.0;50;92.99307745563365;0.0;3;50;50;0.4553717451624668;464.51199544878693;4098.8439683769275;10021.166250000002;184.0;180.0;136.0;0;6
4;303.14049612571625;307.9775;308.02083680344913;311.4546705472243;9500.0;775.7503456260744;775.4636375292067;775.4636375292067;70.0;63.7519209769769;70.0;50;96.41121442284066;0.0;3;50;50;0.4688770029843224;586.6718081307915;4112.02258957685;10021.166250000002;184.0;180.0;136.0;0;6
5;303.167758021991;308.21103;308.16067222214735;311.4546705472243;9500.0;776.3673557549894;776.0208252413245;776.0208252413245;70.0;63.68294092062551;70.0;50;97.21217467710672;0.0;3;50;50;0.47969246430040224;681.1266167966501;4125.951316829873;10021.166250000002;184.0;180.0;136.0;0;6
6;303.194747299303;308.34668;308.276311196581;311.4546705472243;9500.0;776.9837010390809;776.5773864087823;776.5773864087823;70.0;63.585028075862525;70.0;50;100.0;-1.4210854715202004e-14;3;50;50;0.48820945256958015;752.537409900313;4139.89067912094;10021.166250000002;184.0;180.0;136.0;0;6
7;303.22146668384187;308.63254;308.37158614653185;311.4546705472243;9500.0;777.5993821947368;777.1333217361151;777.1333217361151;70.0;63.476788230463036;70.0;50;100.0;1.4210854715202004e-14;3;50;50;0.4947959042480353;804.9245700602937;4153.50744622835;10021.166250000002;184.0;180.0;136.0;0;6
8;303.24791887453534;308.54813;308.449477164951;311.4546705472243;9500.0;778.2143999375733;777.6886319270657;777.6886319270657;70.0;63.38549783296563;70.0;50;100.0;0.0;3;50;50;0.49973787141256276;841.4217652816594;4166.534525564755;10021.166250000002;184.0;180.0;136.0;0;6
9;303.2741065433219;308.9247;308.51239998482583;311.4546705472243;9500.0;778.8287549824353;778.2433176845853;778.2433176845853;70.0;63.31932198540896;70.0;50;100.0;0.0;3;50;50;0.50326718804921;864.4971416785596;4178.827017932588;10021.166250000002;184.0;180.0;136.0;0;6
