current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
1870;306.3581349866704;313.04782;313.08734291667554;313.0471758061907;4665.044337393129;900.8936813646756;859.9918589255135;859.9918589255135;70.0;76.30669660603252;70.0;50;67.64923620909842;2.5344177178712073;3;50;50;1.543491417563919;1829.3397592476263;4649.407051602734;4197.462154390025;212.0;200.0;148.0;0;4
1871;306.3581357627586;313.05234;313.0922288489684;313.0471758061907;4661.50590122255;900.9005503307332;859.9925302201864;859.9925302201864;70.0;76.36844717769523;70.0;50;67.64014933716795;2.5314995171277928;3;50;50;1.546181907497501;1831.4969535186196;4651.953188022433;4193.200108022563;212.0;200.0;148.0;0;4
1872;306.3581365310859;313.05026;313.0962998817954;313.0471758061907;4654.259819304194;900.9069564132427;859.9927709600078;859.9927709600078;70.0;76.4048493777639;70.0;50;67.60902931676208;2.5160529608830586;3;50;50;1.5503434118046797;1834.1921976989072;4653.176713097182;4184.472202351902;212.0;200.0;148.0;0;4
1873;306.3581372917299;313.05316;313.08578617972694;313.0471758061907;4626.858672201361;900.9124222505163;859.9921307702276;859.9921307702276;70.0;76.0835971520829;70.0;50;67.56168893270655;2.5069735406585325;3;50;50;1.5602303918171563;1834.958555320222;4642.287241065531;4151.46752066654;212.0;200.0;148.0;0;4
1874;306.3581380447675;313.04382;313.0831934583226;313.0471758061907;4636.52259741918;900.9143454986744;859.9881549346097;859.9881549346097;70.0;76.07852262243301;70.0;50;67.5474045010178;2.5222720627489394;3;50;50;1.5552681527186984;1833.4607575662587;4641.288093496349;4163.107718591404;212.0;200.0;148.0;0;4
1875;306.3581387902747;313.04758;313.09081118551666;313.0471758061907;4656.169737022922;900.9175153187379;859.9853613591794;859.9853613591794;70.0;76.34425472399396;70.0;50;67.56837610248809;2.525161791299104;3;50;50;1.5482288616741848;1832.941174820211;4649.141153870823;4186.772698244111;212.0;200.0;148.0;0;4
1876;306.35813952832683;313.05618;313.09149130445917;313.0471758061907;4644.6109744984215;900.9232158662094;859.9849616907916;859.9849616907916;70.0;76.37478970879255;70.0;50;67.46932709493777;2.5261114781308946;3;50;50;1.553551208601101;1835.141349639808;4647.595073384871;4172.85016878335;212.0;200.0;148.0;0;4
1877;306.35814025899845;313.0505;313.0921051907678;313.0471758061907;4641.785841860346;900.9274201039946;859.9831565466974;859.9831565466974;70.0;76.01709862997515;70.0;50;67.4651005564753;2.521702985746606;3;50;50;1.5549607168362505;1835.1089649393211;4648.217792069609;4169.447296520788;212.0;200.0;148.0;0;4
1878;306.35814098236335;313.05133;313.0791217899914;313.0471758061907;4629.907728494507;900.931255282212;859.9810095405799;859.9810095405799;70.0;76.37510513393889;70.0;50;67.46733594606732;2.5182844093426184;3;50;50;1.5573063079140348;1833.8517285369624;4636.974173431174;4155.140108971635;212.0;200.0;148.0;0;4
1879;306.3581416984946;313.0431;313.1026689436611;313.0471758061907;4662.305256667205;900.9335523499929;859.977417944324;859.977417944324;70.0;76.10481138088997;70.0;50;67.56343352258247;2.52117415069948;3;50;50;1.5482221475211249;1834.3326795785492;4659.163261522856;4194.162931655649;212.0;200.0;148.0;0;4
