current_time;Tw_in;Tw_out;Tw_out_sp;Theater_opt;Theater1;Theater2;omegab_opt;pc_reduced;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
0;303.0286668575319;306.13848774177626;311.4546705472243;903.4;773.4011492317835;773.3071258394415;9500;66.85465480642871;66.85465480642871;75.45164028057192;49;49;0.0;3;49;49;0.8788887308072088;8.248209103766905;2976.8237581517133;3396.416250000001;184.0;100;136.0;0;6
1;303.0570470464885;306.4914250954967;311.4546705472243;903.4;774.6395645604088;774.6301229866241;9500;64.05457527996754;64.05457527996754;75.49335915833811;48;48;0.0;3;48;48;0.36224878586578246;492.7651998320445;3137.390107189612;10021.166250000002;184.0;100;136.0;0;6
2;303.0851434335555;306.7643557151072;311.4546705472243;903.4;775.8753124760076;775.9501464474502;9500;64.0827175953511;64.0827175953511;75.53466084732665;47;47;0.0;3;47;47;0.3756774088089401;547.9451024693219;3216.780667574282;10021.166250000002;184.0;100;136.0;0;6
3;303.11295885675185;307.0038635327927;311.4546705472243;903.4;777.1083987238999;777.2672029058424;9500;64.3405169776758;64.3405169776758;75.57554951942524;46;46;0.0;3;46;46;0.3800232731820395;528.9591718574197;3279.3172275689644;10021.166250000002;184.0;100;136.0;0;6
4;303.14049612571625;307.19814147965405;311.4546705472243;903.4;778.3388290370307;778.5812990306999;9500;64.57955143336554;64.57955143336554;75.61602930480294;45;45;0.0;3;45;45;0.3856256709671163;536.7282124998717;3327.6907465294007;10021.166250000002;184.0;100;136.0;0;6
5;303.167758021991;307.3576864140747;311.4546705472243;903.4;779.566609135997;779.8924414759324;9500;64.8144176046843;64.8144176046843;75.6561042923268;44;44;1.4210854715202004e-14;3;44;44;0.3912026162980355;553.0268562781291;3367.2795990794457;10021.166250000002;184.0;100;136.0;0;6
6;303.194747299303;307.4904730286763;311.4546705472243;903.4;780.7917447290744;781.2006368804934;9500;65.0532444514929;65.0532444514929;75.69577852997546;43;43;-1.4210854715202004e-14;3;43;43;0.3964511536286982;572.0745294345083;3400.8283910829678;10021.166250000002;184.0;100;136.0;0;6
7;303.22146668384187;307.6018892043877;311.4546705472243;903.4;782.0142415122431;782.5058918684146;9500;65.3035925564524;65.3035925564524;75.73505602524759;42;42;0.0;3;42;42;0.40134106393095514;591.9788180430482;3429.9267065609333;10021.166250000002;184.0;100;136.0;0;6
8;303.24791887453534;307.6997004498137;311.4546705472243;903.4;783.234105169215;783.8082130488382;9500;65.59016767893881;65.59016767893881;75.77394074556699;41;41;0.0;3;41;41;0.40572950416589554;609.2327112180621;3456.6501025584453;10021.166250000002;184.0;100;136.0;0;6
9;303.2741065433219;307.7739629729544;311.4546705472243;903.4;784.45134137146;785.1076070160519;9500;65.85942838467332;65.85942838467332;75.81243661868325;40;40;0.0;3;40;40;0.4103324630617665;633.854740292124;3478.1550898218234;10021.166250000002;184.0;100;136.0;0;6
10;303.3000323354206;307.8408299305621;311.4546705472243;903.4;785.665955778232;786.404080349521;9500;66.1831031521086;66.1831031521086;75.85054753306832;39;39;0.0;3;39;39;0.414597936334832;656.7571068647248;3497.997740053543;10021.166250000002;184.0;100;136.0;0;6
