Tw_in [°C];mw_dot [kg/s];Hpev;omegab [rpm];pc [bar];Tw_out [°C];Theater1 [°C];Theater2 [°C];Pheat_out [W]
30;0.223334979;100;1950;63.52165499;32.49458179;550.738102;531.4211935;2332.135173
30;0.223334979;100;1950;63.50197578;32.49301376;550.4357752;531.1706712;2330.66926
30;0.223334979;100;1950;63.48244406;32.49145706;550.1337741;530.9204305;2329.213929
30;0.223334979;100;1950;63.46305587;32.48991035;549.8320984;530.6704713;2327.767943
30;0.223334979;100;1950;63.44380722;32.4883724;549.5307478;530.4207931;2326.330139
30;0.223334979;100;1950;63.42469408;32.48684203;549.2297219;530.1713956;2324.89943
30;0.223334979;100;1950;63.40571239;32.48531816;548.9290204;529.9222786;2323.474797
30;0.223334979;100;1950;63.38685811;32.48379978;548.6286429;529.6734418;2322.05529
30;0.223334979;100;1950;63.36812718;32.48228593;548.3285891;529.4248847;2320.640023
30;0.223334979;100;1950;63.34951557;32.48077573;548.0288585;529.1766072;2319.228169
30;0.223334979;100;1950;63.33107458;32.4792784;547.729451;528.9286088;2317.828342
30;0.223334979;100;1950;63.31294291;32.47779691;547.430366;528.6808893;2316.443324
30;0.223334979;100;1950;63.29517953;32.47632458;547.1316034;528.4334484;2315.066876
30;0.223334979;100;1950;63.27773555;32.47488402;546.8331626;528.1862856;2313.720118
30;0.223334979;100;1950;63.26058537;32.47347261;546.5350435;527.9394009;2312.400626
30;0.223334979;100;1950;63.24370617;32.47209161;546.2372455;527.6927937;2311.109556
30;0.223334979;100;1950;63.22708056;32.47073883;545.9397685;527.4464638;2309.844863
30;0.223334979;100;1950;63.21069397;32.46941259;545.642612;527.200411;2308.604986
30;0.223334979;100;1950;63.19453429;32.46811078;545.3457757;526.9546348;2307.38795
30;0.223334979;100;1950;63.17859119;32.46683132;545.0492592;526.709135;2306.191814
30;0.223334979;100;1950;63.16285578;32.46557206;544.7530622;526.4639112;2305.014554
30;0.223334979;100;1950;63.14732034;32.4643308;544.4571844;526.2189632;2303.854128
30;0.223334979;100;1950;63.13197831;32.46310536;544.1616255;525.9742906;2302.70849
30;0.223334979;100;1950;63.11682448;32.46189361;543.8663849;525.7298932;2301.575641
30;0.223334979;100;1950;63.10185596;32.46069351;543.5714626;525.4857706;2300.453695
30;0.223334979;100;1950;63.08717935;32.45950702;543.276858;525.2419225;2299.344471
30;0.223334979;100;1950;63.07202417;32.45830425;542.9825708;524.9983486;2298.220027
30;0.223334979;100;1950;63.05657709;32.45709086;542.6886008;524.7550485;2297.085645
30;0.223334979;100;1950;63.04343064;32.45595907;542.3949475;524.5120221;2296.027562
30;0.223334979;100;1950;63.02914028;32.45478351;542.1016106;524.269269;2294.928555
30;0.223334979;100;1950;63.01500456;32.4536093;541.8085898;524.0267888;2293.830808
30;0.223334979;100;1950;63.00101516;32.45243484;541.5158848;523.7845812;2292.73283
30;0.223334979;100;1950;62.98716475;32.45125891;541.2234951;523.5426461;2291.633474
30;0.223334979;100;1950;62.97344573;32.45008076;540.9314205;523.300983;2290.532044
30;0.223334979;100;1950;62.95985142;32.44889944;540.6396606;523.0595916;2289.427648
30;0.223334979;100;1950;62.94637563;32.44771413;540.3482151;522.8184717;2288.319529
30;0.223334979;100;1950;62.93301258;32.44652409;540.0570837;522.5776229;2287.206981
30;0.223334979;100;1950;62.91975675;32.44532865;539.7662659;522.3370449;2286.089396
30;0.223334979;100;1950;62.90660285;32.44412727;539.4757615;522.0967375;2284.966242
30;0.223334979;100;1950;62.89354582;32.44291944;539.1855701;521.8567002;2283.837065
30;0.223334979;100;1950;62.88058073;32.44170475;538.8956915;521.6169329;2282.701476
30;0.223334979;100;1950;62.86770286;32.44048285;538.6061251;521.3774352;2281.559151
30;0.223334979;100;1950;62.8549076;32.43925346;538.3168708;521.1382069;2280.409819
30;0.223334979;100;1950;62.84219052;32.43801634;538.0279282;520.8992475;2279.253261
30;0.223334979;100;1950;62.82954731;32.43677131;537.7392969;520.6605568;2278.089304
30;0.223334979;100;1950;62.81697379;32.43551822;537.4509766;520.4221345;2276.917816
30;0.223334979;100;1950;62.80446593;32.43425698;537.162967;520.1839804;2275.738703
30;0.223334979;100;1950;62.79201984;32.43298752;536.8752677;519.946094;2274.551909
30;0.223334979;100;1950;62.77963174;32.43170981;536.5878785;519.7084751;2273.357406
30;0.223334979;100;1950;62.76729802;32.43042386;536.3007989;519.4711234;2272.155199
30;0.223334979;100;1950;62.75501517;32.4291297;536.0140286;519.2340387;2270.945318
30;0.223334979;100;1950;62.74277982;32.4278274;535.7275674;518.9972205;2269.727817
30;0.223334979;100;1950;62.73058874;32.42651702;535.4414148;518.7606686;2268.502773
30;0.223334979;100;1950;62.71843883;32.42519868;535.1555705;518.5243827;2267.270285
30;0.223334979;100;1950;62.70632711;32.42387251;534.8700343;518.2883625;2266.030469
30;0.223334979;15;1950;63.84957852;32.43909198;534.5848057;518.0526077;2280.258852
30;0.223334979;15;1950;66.34123354;32.49736226;534.2998845;517.817118;2334.734588
30;0.223334979;15;1950;67.97847724;32.7086307;534.0152702;517.5818931;2532.245266
30;0.223334979;15;1950;69.23197571;32.88578498;533.7309627;517.3469327;2697.863303
30;0.223334979;15;1950;70.22974078;33.05194805;533.4469615;517.1122366;2853.205868
30;0.223334979;15;1950;70.98454038;33.18300073;533.1632663;516.8778043;2975.724427
30;0.223334979;15;1950;71.8764022;33.31169553;532.8798768;516.6436356;3096.038653
30;0.223334979;15;1950;72.63327297;33.39889607;532.5967927;516.4097303;3177.560715
30;0.223334979;15;1950;73.17182553;33.4556352;532.3140136;516.176088;3230.605005
30;0.223334979;15;1950;73.65556814;33.4909809;532.0315392;515.9427084;3263.648999
30;0.223334979;15;1950;74.35912809;33.51185397;531.7493692;515.7095912;3283.162818
30;0.223334979;15;1950;74.7408444;33.51410823;531.4675032;515.4767362;3285.270281
30;0.223334979;15;1950;75.13433699;33.50448525;531.185941;515.244143;3276.273945
