Tw_in [°C];mw_dot [kg/s];Hpev;omegab [rpm];pc [bar];Tw_out [°C];Theater1 [°C];Theater2 [°C];Pheat_out [W]
30;0.223334979;100;9500;70.72649721;32.88599261;527.5726299;500.5981361;2698.057409
30;0.223334979;100;9500;67.09079061;32.77082793;528.1446429;501.1955996;2590.392234
30;0.223334979;100;9500;62.16267105;32.71783864;528.7160394;501.7923913;2540.853592
30;0.223334979;100;9500;60.4334541;32.63033329;529.2868203;502.3885119;2459.04657
30;0.223334979;100;9500;58.29217052;32.47328316;529.8569861;502.9839622;2312.223507
30;0.223334979;100;9500;56.45921051;32.28846399;530.4265375;503.5787429;2139.439724
30;0.223334979;100;9500;55.20423767;32.15848388;530.9954753;504.1728548;2017.923892
30;0.223334979;100;9500;54.0744717;32.02721315;531.5638;504.7662986;1895.201484
30;0.223334979;100;9500;53.18094565;31.9265147;532.1315123;505.3590752;1801.060489
30;0.223334979;100;9500;52.48518619;31.85140512;532.6986129;505.9511851;1730.842034
30;0.223334979;100;9500;51.94932762;31.79929109;533.2651025;506.5426293;1682.121649
30;0.223334979;100;9500;51.54013069;31.7682438;533.8309816;507.1334083;1653.096157
30;0.223334979;100;9500;51.23022767;31.75696773;534.396251;507.7235231;1642.55438
30;0.223334979;100;9500;50.99777086;31.76444967;534.9609112;508.3129743;1649.549099
30;0.223334979;100;9500;50.82587685;31.78955824;535.5249631;508.9017626;1673.022606
30;0.223334979;100;9500;50.7008093;31.83074734;536.0884071;509.4898889;1711.529484
30;0.223334979;100;9500;50.61144542;31.88632006;536.6512441;510.0773539;1763.483318
30;0.223334979;100;9500;50.54953378;31.95428704;537.2134745;510.6641582;1827.024305
30;0.223334979;100;9500;50.5086552;32.0324446;537.7750992;511.2503028;1900.092263
30;0.223334979;100;9500;50.48381459;32.1184907;538.3361187;511.8357882;1980.535052
30;0.223334979;100;9500;50.47113293;32.21006861;538.8965336;512.4206152;2066.149434
30;0.223334979;100;9500;50.46788355;32.30511529;539.4563447;513.0047846;2155.006694
30;0.223334979;100;9500;50.47197224;32.40176073;540.0155526;513.5882971;2245.358609
30;0.223334979;100;9500;50.48089243;32.49776561;540.574158;514.1711535;2335.111672
30;0.223334979;100;9500;50.4942513;32.59898511;541.1321614;514.7533545;2429.73978
30;0.223334979;100;9500;50.50682661;32.68043747;541.6895635;515.3349008;2505.887974
30;0.223334979;100;9500;50.52113458;32.76926018;542.2463651;515.9157932;2588.926572
30;0.223334979;100;9500;50.53630866;32.85174891;542.8025667;516.4960324;2666.043653
