Tw_in [°C];mw_dot [kg/s];Hpev;omegab [rpm];pc [bar];Tw_out [°C];Theater1 [°C];Theater2 [°C];Pheat_out [W]
30;0.223334979;100;9500;64.13085536;35.30470286;538.1212306;519.2668882;4959.26179
30;0.223334979;100;9500;64.17568836;35.34022488;538.6818771;519.8433591;4992.47062
30;0.223334979;100;9500;64.21374761;35.37502981;539.2419195;520.4191818;5025.009059
30;0.223334979;100;9500;64.25173338;35.40552597;539.8013585;520.994357;5053.519323
30;0.223334979;100;9500;64.28672973;35.43145361;540.3601946;521.5688855;5077.758555
30;0.223334979;100;9500;64.32227225;35.45375242;540.9184286;522.1427679;5098.605274
30;0.223334979;100;9500;64.35516953;35.47299704;541.476061;522.716005;5116.596687
30;0.223334979;100;9500;64.38890664;35.48995558;542.0330926;523.2885975;5132.450893
30;0.223334979;100;9500;64.4201739;35.50496856;542.589524;523.8605461;5146.486233
30;0.223334979;100;9500;64.45264955;35.51853627;543.1453558;524.4318516;5159.170413
30;0.223334979;100;9500;64.48259277;35.53081774;543.7005887;525.0025146;5170.652122
30;0.223334979;100;9500;64.51418981;35.54216208;544.2552233;525.572536;5181.257714
30;0.223334979;100;9500;64.54292143;35.55261449;544.8092603;526.1419164;5191.029466
30;0.223334979;100;9500;64.57393693;35.56245121;545.3627003;526.7106565;5200.225621
30;0.223334979;100;9500;64.60141875;35.57163613;545.9155439;527.2787571;5208.812425
30;0.223334979;100;9500;64.63216343;35.58042379;546.4677918;527.8462189;5217.027831
30;0.223334979;100;9500;64.65820451;35.58870355;547.0194447;528.4130426;5224.768417
30;0.223334979;100;9500;64.68910145;35.59675026;547.5705032;528.9792289;5232.291128
30;0.223334979;100;9500;64.71329173;35.60436405;548.1209678;529.5447785;5239.409112
30;0.223334979;100;9500;64.74501122;35.61188786;548.6708394;530.1096922;5246.442967
30;0.223334979;100;9500;64.76657485;35.61899232;549.2201184;530.6739706;5253.084791
30;0.223334979;100;9500;64.80024724;35.62615827;549.7688056;531.2376146;5259.784089
30;0.223334979;100;9500;64.81780628;35.63284828;550.3169015;531.8006247;5266.038447
30;0.223334979;100;9500;64.85529343;35.63979387;550.8644069;532.3630018;5272.531749
30;0.223334979;100;9500;64.86673445;35.64611436;551.4113223;532.9247464;5278.440644
30;0.223334979;100;9500;64.91051163;35.65296383;551.9576484;533.4858594;5284.844083
30;0.223334979;100;9500;64.91414957;35.65893671;552.5033858;534.0463415;5290.42801
30;0.223334979;100;9500;64.96482303;35.66578565;553.0485351;534.6061933;5296.830947
30;0.223334979;100;9500;64.96316208;35.6714878;553.5930971;535.1654155;5302.161775
30;0.223334979;100;9500;65.01478636;35.67834053;554.1370722;535.7240089;5308.568256
30;0.223334979;100;9500;65.01110527;35.68387813;554.6804613;536.2819742;5313.745249
30;0.223334979;100;9500;65.06374448;35.69064724;555.2232648;536.8393121;5320.073554
30;0.223334979;100;9500;65.05821165;35.69604181;555.7654834;537.3960232;5325.116833
30;0.223334979;100;9500;65.11158701;35.70275145;556.3071178;537.9521084;5331.389546
30;0.223334979;100;9500;65.10424606;35.70802463;556.8481685;538.5075682;5336.319333
30;0.223334979;100;9500;65.15865405;35.71468915;557.3886362;539.0624035;5342.549858
30;0.223334979;100;9500;65.1495643;35.71985425;557.9285216;539.6166148;5347.37861
30;0.223334979;100;9500;65.20465018;35.72649111;558.4678252;540.170203;5353.583278
30;0.223334979;100;9500;65.19377862;35.73156053;559.0065478;540.7231686;5358.322582
30;0.223334979;100;9500;65.25007749;35.73817666;559.5446898;541.2755125;5364.507869
30;0.223334979;100;9500;65.2375679;35.74315893;560.082252;541.8272352;5369.1657
30;0.223334979;100;9500;65.29432342;35.74977006;560.6192349;542.3783376;5375.346315
30;0.223334979;100;9500;65.27995373;35.7546733;561.1556392;542.9288202;5379.930253
30;0.223334979;100;9500;65.33846202;35.761278;561.6914655;543.4786839;5386.104855
30;0.223334979;100;9500;65.32271396;35.76610863;562.2267145;544.0279292;5390.620918
30;0.223334979;100;9500;65.38083366;35.77272819;562.7613867;544.5765569;5396.809416
30;0.223334979;100;9500;65.36279932;35.77748894;563.2954828;545.1245677;5401.260139
30;0.223334979;100;9500;65.4244044;35.78410164;563.8290034;545.6719623;5407.442229
30;0.223334979;100;9500;65.40598963;35.78880457;564.3619491;546.2187414;5411.838898
30;0.223334979;100;9500;65.46394869;35.79546019;564.8943205;546.7649056;5418.06111
30;0.223334979;100;9500;65.44165502;35.80009629;565.4261183;547.3104556;5422.395308
30;0.223334979;100;9500;65.49484332;35.80611644;565.9573431;547.8553922;5428.023427
30;0.223334979;100;9500;65.49134985;35.81138138;566.4879955;548.3997161;5432.945511
30;0.223334979;100;9500;65.54047101;35.81802281;567.018076;548.9434278;5439.154457
30;0.223334979;100;9500;65.5172561;35.82267324;567.5475854;549.4865282;5443.502053
30;0.223334979;100;9500;65.57811086;35.82848478;568.0765243;550.0290178;5448.935147
30;0.223334979;100;9500;65.58057811;35.83401481;568.6048932;550.5708975;5454.105063
30;0.223334979;100;9500;65.60637169;35.84028708;569.1326927;551.1121678;5459.968885
30;0.223334979;100;9500;65.61388039;35.84556066;569.6599236;551.6528294;5464.899052
30;0.223334979;100;9500;65.65317928;35.85134806;570.1865863;552.1928831;5470.309576
30;0.223334979;100;9500;65.63895339;35.8561345;570.7126815;552.7323296;5474.784324
30;0.223334979;100;9500;65.70555531;35.86237149;571.2382099;553.2711694;5480.615159
30;0.223334979;100;9500;65.67487402;35.86670205;571.763172;553.8094033;5484.66372
30;0.223334979;100;9500;65.74381749;35.87350393;572.2875684;554.347032;5491.022656
30;0.223334979;100;9500;65.70949339;35.87778921;572.8113998;554.8840561;5495.028886
